Domain Authority,Alexa,SSL Certificate,Content Update Frequency,Schema Implementation,AMP implementation,Static Pages,Mobile Optimization,Interface,User Experience,Ad optimization,Wikipedia page ,Trend level,Keyword Optimization,Internal Linking,Word Count,Grammar and Language,Categorization,Rank Prediction
High,High,Yes,High,Yes,Yes,Yes,Yes,High,High,High,Yes,High,High,High,High,High,High,High
High,High,Yes,High,Yes,Yes,Yes,Yes,High,High,High,Yes,High,High,High,Low,High,High,High
High,High,Yes,High,Yes,Yes,Yes,Yes,Medium,Medium,High,Yes,High,High,High,High,High,High,High
High,Medium,No,High,Yes,Yes,Yes,Yes,High,High,High,Yes,High,High,High,High,High,Medium,Medium
High,High,No,Low,No,No,Yes,No,Low,Low,Low,No,High,High,Low,Low,Medium,Medium,Medium
Low,Medium,Yes,High,Yes,No,Yes,Yes,High,High,High,Yes,High,High,Medium,High,High,Medium,Medium
High,High,Yes,High,Yes,Yes,Yes,Yes,High,High,High,Yes,High,High,Medium,Low,High,Low,Low
High,High,Yes,Medium,Yes,Yes,Yes,Yes,High,High,Medium,Yes,High,High,Medium,Low,Medium,Low,Low
Low,Medium,Yes,Low,Yes,No,Yes,Yes,Medium,Medium,Medium,No,High,High,High,Low,Low,Low,Low
High,High,Yes,High,Yes,Yes,Yes,Yes,High,High,Medium,Yes,Low,High,Low,Low,Low,High,High
High,Medium,Yes,High,Yes,No,Yes,Yes,High,High,High,No,Low,High,Low,Medium,Medium,High,High
High,Medium,Yes,High,Yes,No,Yes,Yes,High,High,High,Yes,Low,High,Low,Medium,Medium,High,High
Medium,High,Yes,High,Yes,Yes,Yes,No,Medium,Medium,High,Yes,Low,High,Low,Low,Medium,Medium,Medium
High,Medium,Yes,Medium,Yes,Yes,Yes,No,Medium,Medium,High,Yes,Low,High,Low,Medium,Medium,Medium,Medium
Medium,High,No,Medium,Yes,Yes,Yes,Yes,Medium,Medium,High,Yes,Low,High,Low,Medium,Medium,Medium,Medium
Low,High,Yes,High,Yes,Yes,Yes,Yes,Medium,Medium,High,Yes,Low,High,Low,Low,Low,Low,Low
Low,High,No,High,Yes,No,Yes,Yes,High,Medium,High,Yes,Low,High,Medium,Medium,High,Medium,Low
Medium,Medium,Yes,High,Yes,No,Yes,Yes,Medium,Medium,Low,Yes,Low,High,High,Medium,High,Medium,Low
Low,Low,Yes,Low,Yes,No,Yes,Yes,High,High,Low,No,Medium,High,High,High,High,High,High
Low,Low,No,Low,Yes,No,Yes,Yes,Medium,Medium,High,No,Medium,High,Low,Medium,Medium,High,High
Low,Low,Yes,Low,Yes,Yes,Yes,Yes,Medium,Medium,High,No,Medium,High,Low,Low,Low,High,High
Low,Low,Yes,Low,Yes,Yes,Yes,Yes,High,High,High,No,Medium,High,Low,Medium,Medium,High,Medium
Low,Low,No,Low,Yes,No,Yes,Yes,Medium,Medium,Low,No,Medium,High,Low,Low,Medium,High,Medium
Low,Low,Yes,Low,Yes,Yes,Yes,Yes,High,High,Medium,No,Medium,High,Low,Medium,Medium,High,Medium
Low,Low,No,Low,Yes,No,Yes,Yes,Medium,Low,Medium,No,Medium,High,Low,Low,Low,High,Low
Low,Low,Yes,Low,No,Yes,Yes,Yes,Low,Low,Low,No,Medium,High,Low,Medium,Medium,High,Low
Low,Low,Yes,Low,Yes,No,Yes,Yes,Low,Low,Medium,No,Medium,High,Medium,Medium,Medium,Low,Low
Low,Low,Yes,Low,Yes,No,Yes,Yes,Low,Low,Medium,No,Medium,High,Medium,Medium,Medium,Low,Low
High,High,No,High,Yes,Yes,No,Yes,High,High,High,Yes,High,High,High,Medium,High,High,High
High,High,Yes,High,Yes,No,Yes,Yes,Medium,Medium,Medium,Yes,High,High,Low,Low,High,Medium,High
Medium,Medium,No,Low,Yes,No,Yes,Yes,High,High,High,Yes,High,High,High,Low,High,High,High
High,High,No,High,No,No,Yes,No,Medium,Medium,High,Yes,High,High,Low,Medium,High,High,Medium
High,High,No,High,Yes,Yes,Yes,Yes,Medium,Medium,High,Yes,High,High,Low,Medium,High,High,Medium
Low,Medium,Yes,Low,Yes,Yes,No,No,Medium,Medium,Medium,Yes,High,High,Low,Medium,High,Medium,Medium
High,High,Yes,Medium,Yes,No,Yes,Yes,High,High,High,Yes,High,High,High,Medium,High,High,Low
Medium,Medium,No,Low,Yes,No,Yes,Yes,High,High,Medium,Yes,High,High,Low,Low,High,Low,Low
High,High,Yes,High,Yes,Yes,Yes,Yes,High,High,Medium,Yes,High,High,Low,Low,High,Medium,Low
Low,Medium,No,Low,Yes,No,No,Yes,High,High,Medium,Yes,Low,High,High,Medium,High,Low,High
Low,Low,No,Low,Yes,No,No,Yes,High,High,Medium,Yes,Low,High,High,High,High,Low,High
Low,Medium,Yes,Low,Yes,Yes,No,Yes,High,High,Medium,Yes,Low,High,High,High,High,Medium,High
Low,Low,Yes,Low,No,Yes,Yes,Yes,High,High,High,Yes,Low,High,Low,Medium,High,High,Medium
Low,Low,No,Low,Yes,Yes,No,Yes,Medium,Medium,Medium,Yes,Low,Medium,Low,Low,Medium,Medium,Medium
Low,Low,No,Low,Yes,Yes,Yes,Yes,Medium,Medium,Medium,Yes,Low,Medium,High,Low,High,High,Medium
Low,Low,No,Low,Yes,Yes,No,Yes,Medium,Medium,Medium,Yes,Low,High,Low,Low,Medium,Low,Low
Low,Low,No,Low,No,Yes,No,Yes,Medium,Medium,Medium,Yes,Low,Medium,Low,Medium,High,Low,Low
Medium,Low,Yes,Low,Yes,Yes,No,Yes,Medium,Medium,Medium,Yes,Low,Medium,Low,Low,Medium,Low,Low
Low,Medium,Yes,Low,Yes,Yes,No,Yes,High,High,Medium,Yes,Medium,High,Low,Medium,High,Low,High
Medium,Medium,No,Low,No,Yes,No,Yes,Medium,Medium,High,Yes,Medium,Low,Low,Low,Medium,Low,High
Low,Low,Yes,Low,No,Yes,Yes,Yes,High,High,High,Yes,Medium,High,Low,Medium,High,High,High
Low,Medium,Yes,Low,Yes,Yes,No,No,Medium,Medium,Medium,Yes,Medium,High,Low,Medium,High,Medium,Medium
Low,Medium,Yes,Low,Yes,No,No,Yes,Medium,Medium,High,Yes,Medium,Medium,High,Low,Medium,High,Medium
Low,Low,Yes,Low,Yes,Yes,No,Yes,Medium,Medium,Medium,Yes,Medium,Medium,Medium,Low,Medium,Medium,Medium
High,High,No,High,No,No,Yes,No,Medium,Medium,High,Yes,Medium,High,High,High,High,High,Low
Low,Low,No,Low,Yes,Yes,No,No,Medium,Medium,Medium,Yes,Medium,Medium,Low,Low,Medium,Medium,Low
Low,Low,Yes,Low,Yes,Yes,No,No,Medium,Medium,Medium,Yes,Medium,Medium,Low,Low,Low,Low,Low